id,jurisdiction__name,jurisdiction_id,court__name_abbreviation,court_id,reporter__full_name,reporter_id,label,date,degree_from_slave_case,cites,cites_short_name,target,slave_state
552801,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Anderson D. Gibbs, Appellant",1883,1,19 La. 39,Slatter v. Holton,8747354,0
2199641,N.Y.,1,N.Y.,24653,New York Reports,20,"Frederick Zoeller, Appellant, v. Julia A. Riley, Administratrix, etc., Respondent",1885,1,2 Fla. 621,Lanier v. Chappell ex rel. Monroe,8849781,0
1168288,N.Y.,1,N.Y. Sup. Ct.,8791,New York Criminal Reports,143,PEOPLE v. PALMER,1887,1,1 Mo. 520,Baldridge v. Walton,8856954,0
799909,N.Y.,1,N.Y.,24653,New York Criminal Reports,143,PEOPLE v. BLIVEN,1889,1,11 Ala. 187,Clopton v. Martin,11255651,0
2219680,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York, Respondent, v. Courtland H. Bliven, Appellant",1889,1,11 Ala. 187,Clopton v. Martin,11255651,0
673716,N.Y.,1,N.Y.,24653,New York State Reporter,160,"Sarah M. Mygatt et al., Resp'ts, v. George S. Coe, App'lt",1891,1,10 Hum. 244,Union Bank v. Barnes,11266985,0
2235512,N.Y.,1,N.Y.,24653,New York Reports,20,"Sarah M. Mygatt et al., as Surviving Trustees, etc., Respondents, v. George S. Coe, Appellant",1891,1,10 Hum. 244,Union Bank v. Barnes,11266985,0
33937,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York ex rel. Jonah May, Overseer of the Poor of the City of Little Falls, Appellant, v. Frank Maynard, Superintendent of the Poor of the County of Herkimer, and the Town of Newport, Respondents",1899,1,2 Dev. 569,State v. Tom,11277782,0
2283848,N.Y.,1,N.Y.,24653,New York Reports,20,"In the Matter of the Election of Directors of the Mutual Fire Insurance Company of Albany; James B. Lyon et al., Petitioners, Appellants, v. John F. Rathbone et al., Respondents",1900,2,115 Cal. 303,People v. Muhlner,4376875,0
2283824,N.Y.,1,N.Y.,24653,New York Reports,20,"The People of the State of New York ex rel. Joseph Reitman, Appellant, v. Theodore Roosevelt et al., Commissioners, Composing the Board of Police of the Police Department of the City of New York, Respondents",1900,2,115 Cal. 303,People v. Muhlner,4376875,0
